text,primary_intent
"who teaches met cs 575?",instructor_lookup
"who is the professor for met cs 535",instructor_lookup
"what does prof goh teach",instructor_lookup
"where is cas ma 226 held",course_info
"what is met cs 575 about",course_info
"when is cas ma 242",schedule_query
"what classes do i have on monday",schedule_query
"what assignments are due this week",assignment_query
"show me all assignments for cs 575",assignment_query
"when is the midterm for cs 232",exam_query
"what exams do i have next week",exam_query
"are there any events tomorrow",event_query
"show me campus events",event_query
"any police alerts today",alert_query
"was there any emergency",alert_query
"how is the weather in boston",weather
"will it rain tomorrow",weather
"hello",chitchat
"thanks!",chitchat
"what is this",unknown
"who teaches cs575",instructor_lookup
"cs 575 professor",instructor_lookup
"who is teaching met cs 535 this semester",instructor_lookup
"prof for cas ma 226",instructor_lookup
"who handles cs 575",instructor_lookup
"instructor for met cs 232",instructor_lookup
"whos teaching 575",instructor_lookup
"who teachs met cs 575",instructor_lookup
"cs575 prof?",instructor_lookup
"who is the teacher for cs 535",instructor_lookup
"what courses does goh teach",instructor_lookup
"what does professor smith teach",instructor_lookup
"who teaches networks",instructor_lookup
"instructor of computer networks",instructor_lookup
"who is teaching data structures",instructor_lookup
"prof goh teaches what",instructor_lookup
"what does goh teach?",instructor_lookup
"is goh teaching ma226",instructor_lookup
"does prof smith teach cs 575",instructor_lookup
"who's the instructor for algorithms",instructor_lookup
"teacher for met cs 575",instructor_lookup
"who runs cs 232",instructor_lookup
"professor of met cs 535",instructor_lookup
"who lectures cs 575",instructor_lookup
"cs575 instructor name",instructor_lookup
"tell me who teaches cs 575",instructor_lookup
"can you tell me the prof for cs 535",instructor_lookup
"which professor teaches met cs 575",instructor_lookup
"who is in charge of cs 232",instructor_lookup
"instructor name for cs575",instructor_lookup
"prof teaching computer architecture",instructor_lookup
"who gives cs 575 lectures",instructor_lookup
"cs 575 taught by who",instructor_lookup
"teaching staff for met cs 535",instructor_lookup
"whos the prof for networks class",instructor_lookup
"faculty for cs 575",instructor_lookup
"who is cs575 instructor",instructor_lookup
"teacher of met cs 232",instructor_lookup
"cs 535 professor name",instructor_lookup
"who will teach cs 575 next semester",instructor_lookup
"current instructor for cs 575",instructor_lookup
"who taught cs 575 last year",instructor_lookup
"professor for data structures course",instructor_lookup
"instructor lookup cs 575",instructor_lookup
"find professor for met cs 535",instructor_lookup
"search instructor cs 575",instructor_lookup
"who's teaching cs575 this term",instructor_lookup
"cs 575 prof name pls",instructor_lookup
"tell me the teacher for cs 535",instructor_lookup
"yo who teaches cs575",instructor_lookup
"hey who's the prof for cs 232",instructor_lookup
"gimme the instructor for cs 575",instructor_lookup
"need to know who teaches cs 535",instructor_lookup
"looking for cs 575 professor",instructor_lookup
"can u tell me who teaches met cs 575",instructor_lookup
"plz tell instructor for cs 232",instructor_lookup
"pls show cs575 prof",instructor_lookup
"who is prof for 575",instructor_lookup
"575 instructor",instructor_lookup
"535 prof",instructor_lookup
"232 teacher",instructor_lookup
"ma226 instructor",instructor_lookup
"whos prof goh",instructor_lookup
"what is goh teaching",instructor_lookup
"goh teaches which course",instructor_lookup
"smith professor of what",instructor_lookup
"does prof jones teach cs 575",instructor_lookup
"is dr. kim teaching cs 535",instructor_lookup
"which courses are taught by goh",instructor_lookup
"goh's courses",instructor_lookup
"what classes does smith have",instructor_lookup
"find courses by professor goh",instructor_lookup
"show me goh's teaching schedule",instructor_lookup
"what is prof smith assigned to teach",instructor_lookup
"who teaches met cs 575 and met cs 535",instructor_lookup
"instructors for cs 575 and cs 232",instructor_lookup
"tell me professors for cs courses",instructor_lookup
"who are the cs faculty",instructor_lookup
"list instructors for computer science",instructor_lookup
"professors teaching this semester",instructor_lookup
"cs department faculty",instructor_lookup
"who teaches in the cs dept",instructor_lookup
"computer science professors",instructor_lookup
"faculty list cs",instructor_lookup
"cs575 and cs535 professors",instructor_lookup
"who handles both cs 575 and ma 226",instructor_lookup
"instructor for networks and algorithms",instructor_lookup
"prof for cs 575, cs 535, and cs 232",instructor_lookup
"multiple course instructors",instructor_lookup
"show all cs instructors",instructor_lookup
"teachers in computer science department",instructor_lookup
"who are my professors this semester",instructor_lookup
"list of profs teaching cs courses",instructor_lookup
"cs faculty names",instructor_lookup
"professors i will have",instructor_lookup
"who will be teaching me cs 575",instructor_lookup
"my instructor for networks class",instructor_lookup
"who am i taking cs 575 with",instructor_lookup
"cs 575 section instructor",instructor_lookup
"prof for section 01 cs 575",instructor_lookup
"who teaches cs 575 morning section",instructor_lookup
"instructor for cs 575 evening class",instructor_lookup
"who teaches cs 575 online",instructor_lookup
"cs 575 remote instructor",instructor_lookup
"prof for cs575 lab",instructor_lookup
"ta for cs 575",instructor_lookup
"teaching assistant cs575",instructor_lookup
"who is the ta for met cs 535",instructor_lookup
"lab instructor cs 232",instructor_lookup
"recitation teacher cs 575",instructor_lookup
"who leads cs 575 discussion",instructor_lookup
"cs575 section leader",instructor_lookup
"head of cs 575 course",instructor_lookup
"course coordinator cs 575",instructor_lookup
"who manages cs 575",instructor_lookup
"cs 575 course director",instructor_lookup
"lecturer for met cs 575",instructor_lookup
"visiting prof cs 575",instructor_lookup
"adjunct teaching cs 575",instructor_lookup
"who is guest lecturing cs 575",instructor_lookup
"substitute prof for cs 575",instructor_lookup
"backup instructor cs575",instructor_lookup
"who fills in for goh in cs 575",instructor_lookup
"replacement teacher cs 575",instructor_lookup
"who covers cs 575 when prof is away",instructor_lookup
"co-instructor for cs 575",instructor_lookup
"team teaching cs 575",instructor_lookup
"multiple profs for cs 575",instructor_lookup
"who are all the instructors for cs 575",instructor_lookup
"cs 575 teaching team",instructor_lookup
"prof and ta for cs575",instructor_lookup
"staff teaching cs 575",instructor_lookup
"who teaches senior design",instructor_lookup
"prof for capstone course",instructor_lookup
"who handles thesis supervision",instructor_lookup
"instructor for independent study",instructor_lookup
"who teaches special topics cs",instructor_lookup
"advanced topics instructor",instructor_lookup
"graduate seminar prof",instructor_lookup
"who teaches cs research methods",instructor_lookup
"phd advisor for cs",instructor_lookup
"masters thesis supervisor",instructor_lookup
"who can supervise my project",instructor_lookup
"research advisor cs dept",instructor_lookup
"prof for directed study",instructor_lookup
"who offers independent research",instructor_lookup
"faculty mentor cs",instructor_lookup
"academic advisor cs department",instructor_lookup
"who is my cs advisor",instructor_lookup
"faculty advisor name",instructor_lookup
"who advises cs students",instructor_lookup
"undergraduate advisor cs",instructor_lookup
"where is met cs 575 held",course_info
"what is met cs 575 about",course_info
"course description cs 575",course_info
"cs 575 details",course_info
"tell me about met cs 535",course_info
"what does cs 575 cover",course_info
"cs 232 course info",course_info
"info on met cs 575",course_info
"cs575 information",course_info
"what is cs 575",course_info
"describe cs 575 course",course_info
"cs 575 syllabus",course_info
"met cs 535 overview",course_info
"course summary cs 575",course_info
"what will i learn in cs 575",course_info
"cs 575 topics",course_info
"cs575 course content",course_info
"subject matter of cs 575",course_info
"cs 575 curriculum",course_info
"what is taught in cs 575",course_info
"cs 575 location",course_info
"where does cs 575 meet",course_info
"cs575 classroom",course_info
"room number for cs 575",course_info
"building for met cs 535",course_info
"cs 575 held where",course_info
"location of cs 232",course_info
"where is cs575 class",course_info
"classroom location cs 575",course_info
"find room for cs 575",course_info
"what room is cs 575 in",course_info
"cs 575 building and room",course_info
"venue for cs 575",course_info
"place where cs575 happens",course_info
"cs 575 meeting location",course_info
"where do i go for cs 575",course_info
"cs575 class location",course_info
"room for met cs 535",course_info
"cs 232 room number",course_info
"building for cs575",course_info
"what building is cs 575 in",course_info
"cs 575 prerequisites",course_info
"prereqs for cs 575",course_info
"what do i need before cs 575",course_info
"requirements for cs 575",course_info
"can i take cs 575",course_info
"am i eligible for cs575",course_info
"do i qualify for cs 575",course_info
"cs 575 pre-requisites",course_info
